Personaje,Sexo,Comprobado
BASILISCO,MALE,True
ALEGRÍA,FEMALE,True
MAXIMILIANO,MALE,True
FEDERICO,MALE,True
TODA LA,FEMALE,True
CIZAÑA,FEMALE,True
CIERZO,MALE,True
NIEBLA,FEMALE,True
VOCES EN LA NAVE,DIVERSE,True
ASIA,FEMALE,True
EUROPA,FEMALE,True
AMÉRICA,FEMALE,True
PAGANISMO,MALE,True
LOS OTROS CUATRO,FEMALE,True
PAGAN.,MALE,True
IDOL.,FEMALE,True
GENTILID.,FEMALE,True
SÉFORA,FEMALE,True
ARÓN,MALE,True
BELFEGOR,MALE,True
LOS OTROS TRES,DIVERSE,True
SUEÑO,MALE,True
SACERDOCIO,MALE,True
COPERO,MALE,True
PANADERO,MALE,True
ÉL CON LA MÚSICA,MALE,True
ALCAIDE,MALE,True
JACOB,MALE,True
BENJAMÍN,MALE,True
JUDAS,MALE,True
ISACAR,MALE,True
ASENET,MALE,True
NEFTALÍ,MALE,True
MANASÉS,MALE,True
GAD,MALE,True
ASER,MALE,True
BATO,MALE,True
JAPHET,MALE,True
SEM,MALE,True
CAM,MALE,True
HEBER,MALE,True
ARCENER,MALE,True
FLORO,MALE,True
NEMBROT,MALE,True
LOS SALVAJES,MALE,True
SALVAJE,MALE,True
VERBO,MALE,True
MISERIA,FEMALE,True
LOS PESCADORES,MALE,True
LEÓN,MALE,True
FIERA,FEMALE,True
ÁGUILA,FEMALE,True
INFANTA,FEMALE,True
IVIERNO,MALE,True
PAN,MALE,True
LUNA,FEMALE,True
BAAL,MALE,True
ZAMBRÍ,MALE,True
FINÉS,MALE,True
AARÓN,MALE,True
HELEACOR,MALE,True
NACOR,MALE,True
UNA MUJER,FEMALE,True
BAAL.,MALE,True
LOS DOS ÁNGELES,MALE,True
LUZ,FEMALE,True
SEGUNDA,FEMALE,True
TERCERA,FEMALE,True
CUARTA,FEMALE,True
LUCERO DEL DÍA,MALE,True
LUCERO DE LA NOCHE,MALE,True
HIJO,MALE,True
JEREMÍAS,MALE,True
DOÑA BEATRIZ,FEMALE,True
DON PEDRO,MALE,True
LUQUETE,MALE,True
OTAVIO,MALE,True
DENTRO CELIO,MALE,True
DOÑA LEONOR,FEMALE,True
OTÁÑEZ,MALE,True
DON ALONSO,MALE,True
DOÑA CLARA,FEMALE,True
DOÑA EUGENIA,FEMALE,True
BRÍGIDA,FEMALE,True
MARI NUÑO,FEMALE,True
HERNANDO,MALE,True
DON FÉLIX,MALE,True
DON TORIBIO,MALE,True
HERNANDO,MALE,True
VIOLANTE,FEMALE,True
SIMÓN,MALE,True
DON ENRIQUE,MALE,True
DON FÉLIX,MALE,True
ENRIQUE,MALE,True
